,,Composite Score,,LTR,,,Fun,,,Helpfulness,,,Issues,,,Issue Res,,,
,Naperville,▼,86,▼,80,68.3%,▲,65,67.6%,▲,79,61.4%,▼,80,27.1%,▼,48,5.3%,143
,Cleveland,▼,87,▼,74,69.3%,▼,80,64.3%,▼,83,59.5%,▲,86,29.7%,▲,22,15.2%,116
,Oklahoma City,▼,88,▼,77,68.8%,▼,75,65.0%,▼,86,58.2%,▼,60,21.5%,▲,46,5.9%,80
,Durham-RTP,▼,89,▼,84,67.4%,▼,77,64.5%,▲,66,64.7%,▼,79,27.1%,▼,47,5.6%,139
,National Harbor,▼,90,▼,83,67.7%,▼,71,65.6%,▼,85,58.2%,▼,95,35.2%,▲,29,12.5%,94
,Chigwell,--,91,▼,86,66.7%,▲,82,64.2%,▼,94,56.8%,▼,92,33.3%,▲,13,18.5%,81
,Germantown,▼,92,▼,89,65.3%,▼,90,61.2%,▼,77,61.9%,▼,72,24.7%,▼,39,8.3%,99
,Atlanta Midtown,▲,93,▼,101,58.2%,▲,76,64.8%,▲,71,63.2%,▲,98,37.5%,▲,29,12.5%,91
,Burlingame,▲,94,▼,96,62.8%,▲,78,64.5%,▲,90,57.5%,▲,73,25.0%,▲,34,10.0%,122
,Austin,▼,95,▼,86,66.7%,▼,92,60.7%,▼,87,58.0%,▼,92,33.3%,▲,13,18.5%,84
,Miami Gardens,▼,96,▼,102,49.0%,▲,58,68.6%,▼,96,52.0%,▼,81,27.5%,▼,43,7.1%,51
,Wichita,▼,97,▲,75,69.0%,▼,96,57.1%,▼,92,57.1%,▼,70,23.8%,▲,56,,43
,Birmingham,▼,98,▼,95,63.1%,▼,73,65.0%,▲,84,59.4%,--,96,35.6%,▲,54,2.8%,104
,Greensboro,▼,99,--,82,67.8%,▼,74,65.0%,--,98,50.4%,▲,97,36.2%,▲,55,2.0%,143
,San Jose,▲,100,▲,87,65.5%,▲,95,59.4%,▲,95,52.6%,--,85,29.4%,▲,33,10.5%,144
,Memphis,▼,101,▼,91,64.8%,▼,91,60.9%,▼,97,51.1%,▲,88,30.8%,▼,42,7.4%,92
,Edison,▼,102,▼,93,64.7%,▼,94,60.0%,▲,91,57.4%,▲,92,33.3%,▲,38,8.6%,254
,Spring,▼,103,▲,88,65.4%,▼,93,60.4%,▲,92,57.1%,▲,87,30.0%,▲,56,,54
,Madison,▼,104,▼,99,59.7%,▼,98,52.9%,▼,93,57.0%,▲,93,33.5%,▼,25,13.1%,194
,Surrey,▼,105,▼,100,58.3%,▼,86,63.1%,▲,99,46.3%,▼,99,46.3%,▲,33,10.5%,86
,Augusta,▼,106,▼,98,62.3%,▲,97,53.7%,▼,89,57.7%,▲,94,34.6%,▼,56,,54
,Bryan,▼,107,▲,97,62.5%,▼,99,43.8%,▼,100,43.8%,▼,100,50.0%,▲,56,,16
