StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Venue,VisitDate,Q1_LTR,Q2_FUN,Q3_HELPFUL,Q4_ISSUES,Q5_ISSUE_RESOLUTION,Q6_COMMENT
2026-08-13 18:09:00,2026-08-13 18:11:22,IP Address,166.147.134.192,100,142,TRUE,2026-08-13 18:11:23,R_SYNTH_011_8019,email,EN,Rogers,2026-08-13,9,5 - Extremely fun,5 - Extremely helpful,No,,Really fun visit and excellent service. Our bay host checked on us regularly without being intrusive.
2026-08-15 19:28:00,2026-08-15 19:29:45,IP Address,109.15.117.151,100,105,TRUE,2026-08-15 19:29:46,R_SYNTH_021_4608,email,EN,Rogers,2026-08-15,9,5 - Extremely fun,5 - Extremely helpful,No,,Really fun visit and excellent service. Our bay host checked on us regularly without being intrusive.
2026-08-17 13:32:00,2026-08-17 13:37:08,IP Address,99.225.101.40,100,308,TRUE,2026-08-17 13:37:09,R_SYNTH_016_7126,email,EN,Waco,2026-08-17,5,3 - Moderately fun,3 - Moderately helpful,Yes,3 - Moderately satisfied,"Our bay had intermittent tracking problems. Staff helped reset it, but the issue came back later."
2026-08-20 15:51:00,2026-08-20 15:52:26,IP Address,54.106.40.142,100,86,TRUE,2026-08-20 15:52:27,R_SYNTH_005_5803,email,EN,Myrtle Beach,2026-08-20,8,4 - Very fun,5 - Extremely helpful,No,,We had a good time and the staff was especially helpful explaining the games to the newer golfers in our group.
2026-08-20 18:33:00,2026-08-20 18:35:19,IP Address,25.184.58.175,100,139,TRUE,2026-08-20 18:35:20,R_SYNTH_014_9797,email,EN,New Braunfels,2026-08-20,6,3 - Moderately fun,3 - Moderately helpful,No,,"The experience was okay. It was busy and felt a little rushed, but the games themselves were enjoyable."
2026-08-21 12:01:00,2026-08-21 12:05:24,IP Address,58.198.52.174,100,264,TRUE,2026-08-21 12:05:25,R_SYNTH_001_9935,email,EN,Buford,2026-08-21,9,5 - Extremely fun,5 - Extremely helpful,No,,Really fun visit and excellent service. Our bay host checked on us regularly without being intrusive.
2026-08-22 12:03:00,2026-08-22 12:05:58,IP Address,50.73.98.49,100,178,TRUE,2026-08-22 12:05:59,R_SYNTH_025_9786,email,EN,Myrtle Beach,2026-08-22,9,5 - Extremely fun,4 - Very helpful,Yes,5 - Extremely satisfied,"The screen stopped tracking shots for a few minutes, but someone came over quickly and fixed it. Great experience overall."
2026-08-23 19:26:00,2026-08-23 19:28:11,IP Address,24.204.81.179,100,131,TRUE,2026-08-23 19:28:12,R_SYNTH_003_7924,email,EN,Lake Mary,2026-08-23,7,4 - Very fun,4 - Very helpful,No,,"Golf was fun and the staff was nice. Food took longer than expected, but we still had a good time."
2026-08-25 13:34:00,2026-08-25 13:38:34,IP Address,176.92.250.5,100,274,TRUE,2026-08-25 13:38:35,R_SYNTH_017_2832,email,EN,New Braunfels,2026-08-25,4,2 - Slightly fun,3 - Moderately helpful,Yes,2 - Slightly satisfied,"We waited quite a while for assistance when the bay equipment stopped working. It was eventually fixed, but we lost playing time."
2026-08-25 15:49:00,2026-08-25 15:52:59,IP Address,134.50.232.1,100,239,TRUE,2026-08-25 15:53:00,R_SYNTH_015_5315,email,EN,Buford,2026-08-25,10,5 - Extremely fun,5 - Extremely helpful,No,,"We had a fantastic time. The team was friendly, everything worked well, and the whole family wants to come back."
2026-08-26 17:12:00,2026-08-26 17:13:39,IP Address,113.118.210.120,100,99,TRUE,2026-08-26 17:13:40,R_SYNTH_024_1887,email,EN,Waco,2026-08-26,7,4 - Very fun,4 - Very helpful,No,,"Golf was fun and the staff was nice. Food took longer than expected, but we still had a good time."
2026-08-27 12:48:00,2026-08-27 12:51:31,IP Address,191.131.84.68,100,211,TRUE,2026-08-27 12:51:32,R_SYNTH_019_9645,email,EN,Gilbert,2026-08-27,10,5 - Extremely fun,5 - Extremely helpful,No,,"We had a fantastic time. The team was friendly, everything worked well, and the whole family wants to come back."
2026-08-27 20:56:00,2026-08-27 21:00:55,IP Address,40.21.116.198,100,295,TRUE,2026-08-27 21:00:56,R_SYNTH_006_5741,email,EN,Buford,2026-08-27,8,4 - Very fun,4 - Very helpful,No,,Fun night with friends. Food was good and the games were easy to get started.
2026-08-28 12:09:00,2026-08-28 12:12:55,IP Address,131.162.32.99,100,235,TRUE,2026-08-28 12:12:56,R_SYNTH_013_7252,email,EN,Rogers,2026-08-28,6,3 - Moderately fun,5 - Extremely helpful,Yes,4 - Very satisfied,"Our food order was incorrect, but our server was very helpful and replaced it quickly."
2026-08-28 20:27:00,2026-08-28 20:29:09,IP Address,199.61.159.103,100,129,TRUE,2026-08-28 20:29:10,R_SYNTH_020_7118,email,EN,New Braunfels,2026-08-28,6,3 - Moderately fun,5 - Extremely helpful,Yes,4 - Very satisfied,"Our food order was incorrect, but our server was very helpful and replaced it quickly."
2026-08-29 20:25:00,2026-08-29 20:27:47,IP Address,58.140.252.24,100,167,TRUE,2026-08-29 20:27:48,R_SYNTH_012_1771,email,EN,Rogers,2026-08-29,1,1 - Not at all fun,1 - Not at all helpful,Yes,1 - Extremely dissatisfied,We had repeated equipment issues and could not get timely help. We left disappointed.
2026-08-30 16:56:00,2026-08-30 17:00:47,IP Address,37.71.40.22,100,287,TRUE,2026-08-30 17:00:48,R_SYNTH_018_8962,email,EN,Gilbert,2026-08-30,9,5 - Extremely fun,4 - Very helpful,Yes,5 - Extremely satisfied,"The screen stopped tracking shots for a few minutes, but someone came over quickly and fixed it. Great experience overall."
